x,y,z,v_x,v_y,v_z,roll,pitch,yaw,angular_v
0.0,0.0,0.24524999999999977,0.0,0.0,0.9809999999999989,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.2551580999999998,0.0,0.0,1.000619999999999,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.2652623999999998,0.0,0.0,1.020239999999999,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.2755628999999998,0.0,0.0,1.039859999999999,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.28605959999999975,0.0,0.0,1.0594799999999989,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.29675249999999975,0.0,0.0,1.0790999999999988,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.30764159999999974,0.0,0.0,1.0987199999999988,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.3187268999999997,0.0,0.0,1.1183399999999988,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.3300083999999997,0.0,0.0,1.1379599999999988,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.3414860999999997,0.0,0.0,1.1575799999999987,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.3531599999999997,0.0,0.0,1.1771999999999987,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.3650300999999997,0.0,0.0,1.1968199999999987,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.37709639999999967,0.0,0.0,1.2164399999999986,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.3893588999999997,0.0,0.0,1.2360599999999986,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.40181759999999966,0.0,0.0,1.2556799999999986,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.41447249999999963,0.0,0.0,1.2752999999999985,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.42732359999999964,0.0,0.0,1.2949199999999985,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.4403708999999996,0.0,0.0,1.3145399999999985,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.4536143999999996,0.0,0.0,1.3341599999999985,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.4670540999999996,0.0,0.0,1.3537799999999984,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.48068999999999956,0.0,0.0,1.3733999999999984,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.4945220999999995,0.0,0.0,1.3930199999999984,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.5085503999999995,0.0,0.0,1.4126399999999983,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.5227748999999995,0.0,0.0,1.4322599999999983,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.5371955999999994,0.0,0.0,1.4518799999999983,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.5518124999999994,0.0,0.0,1.4714999999999983,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.5666255999999994,0.0,0.0,1.4911199999999982,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.5816348999999994,0.0,0.0,1.5107399999999982,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.5968403999999994,0.0,0.0,1.5303599999999982,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.6122420999999993,0.0,0.0,1.5499799999999981,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.6278399999999993,0.0,0.0,1.569599999999998,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.6436340999999993,0.0,0.0,1.589219999999998,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.6596243999999993,0.0,0.0,1.608839999999998,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.6758108999999993,0.0,0.0,1.628459999999998,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.6921935999999993,0.0,0.0,1.648079999999998,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.7087724999999993,0.0,0.0,1.667699999999998,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.7255475999999992,0.0,0.0,1.687319999999998,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.7425188999999992,0.0,0.0,1.706939999999998,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.7596863999999992,0.0,0.0,1.7265599999999979,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.7770500999999992,0.0,0.0,1.7461799999999978,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.7946099999999992,0.0,0.0,1.7657999999999978,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.8123660999999991,0.0,0.0,1.7854199999999978,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.830318399999999,0.0,0.0,1.8050399999999978,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.848466899999999,0.0,0.0,1.8246599999999977,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.866811599999999,0.0,0.0,1.8442799999999977,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.885352499999999,0.0,0.0,1.8638999999999977,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.9040895999999989,0.0,0.0,1.8835199999999976,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.9230228999999989,0.0,0.0,1.9031399999999976,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.9421523999999989,0.0,0.0,1.9227599999999976,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.9614780999999989,0.0,0.0,1.9423799999999976,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,0.9809999999999989,0.0,0.0,1.9619999999999975,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.000718099999999,0.0,0.0,1.9816199999999975,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.0206323999999989,0.0,0.0,2.0012399999999975,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.0407428999999988,0.0,0.0,2.0208599999999977,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.0610495999999987,0.0,0.0,2.040479999999998,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.0815524999999986,0.0,0.0,2.060099999999998,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.1022515999999987,0.0,0.0,2.0797199999999982,0.0,0.0,0.0,[0. 0. 0.]
0.0,0.0,1.1231468999999987,0.0,0.0,2.0993399999999984,0.0,0.0,0.0,[0. 0. 0.]
